children,onunihi
person (lit. who are they?),hangakine
to sing,salaita
"be quiet/shut up, be quiet all",neng’a
be quiet to one,sesa
giraffe,sakeri
buffalo,iruri
rocks,ohomaa
baboon s.&pl.,ohomao
bull (cattle),jirukuta
elephant,mbori
impala/gazelle s.&pl.,mokoriyo
eland s.&pl.,song’ota
dead/celebratory zebra (originally just ‘zebra’ in 2012),ha
dead/celebratory lion,baragwe
wildebeest,orkipanyarua
blood,mweeka
water,ndaipeka
pot,tang’weka
fire,ndahemata
stomach,le uhaeolemeka
head,ndokoiata
"knife, small knife",peneyta
large knife,peneyta hawako
sun,onaisa
young boy(s),horeka
young girl s.& pl.,haiyaka
"mother, older woman, female",omaiyu
"mother, older woman",ohaitandaa
ma,olaseka
leg s.&pl.,uhayameta
hands/arms s.& pl.,hamata
meat,osunguta
fat,ohayandarukoi
moon,ohoa’alamu
night,kon’oma
dog,omai
honey,uhaitamilang’
bird small,kita marumberut
tree,oljani
bow,ohotea
arrow,kushaita
river,ilata
grass,ilkujita
rain,uhwaa
wind,ngaganda
wife,uhaineng’we
husband,"paiyasita (see male, elder)"
snake,masaa
hunt,oho maimaiyu
cold,ohondukweka
good,uhaitamaimaiyo
bad,hotoma
greeting,tashesh
answer to greeting,iyaa
where are you from?,hanokining
animals and birds,horaita
warrior,sharumika
my father,ndaho ndongoiyata
grandfather,kowanderenga
grandmother,utumweka
large,"hawako, peneyta hawako “big knife”"
small,kononauma
hill,endoinyo
who’s boy is this?,shoronika naduruju
God,kirusita
cattle,kinapita
Non-dorobo,konatutakukuyaya
Bee-hive,ohomai
European,osa
food,ohowanai
hyena,oringojinia (this is a Maa word but they say it is theirs and the Maasai borrowed it)
berries,homaiya
day,kokol’aa
trip (let’s go),ng’yeten
land,ohuwauta
to count,uhaita ivere
clothing,usaa
skin clothing,tururek
urine,ngolak (Maa)
throat,armalagutai
back of neck,alaianda
liar,kutumweeka
tracks,sesa umayu
traditional herbal medicine,ohom’a
vagina,sheretaepeta
to have sex,ndahe ong’wala
penis,oshoma
misfortune,ohomaiyu
poison,araneti
death,omaa
buttocks,umorro
to be sick,oho’ita
police or rangers,huyaiya
tobacco,kirangeta
barter among the Dorobo,ohomola
friend,kwet’en
vultures,sakeri nderit
go well,oswanya
