giraffe,sakeri
buffalo,matanguya
dead buffalo,lopu
baboon,ringis
bull (cattle),iruruta
elephant,mbori
dead/celebratory,koru
dead/celebratory lion,parakwe
warthog,kunyae
rhino,kukule
rhino,kumbe
blood,ndagwki
water,peika
pot/gourd,deuta
fire,mata
young boy(s),oreka
boys,shoronika
young girl s.& pl.,ayaka
ma,alasaka
bird large,kerindeti
bow,alwana
arrow,amakit
arrow without metal,engosos
"husband, older man, elder",payasa “elder”
cattle,kinapita
donkey,kuraeta
leopard,penyeita
raven,kuraita
home,iroita
