Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	REF-ID	Phonetic Transcription	Original Transcription (Richard Griscom)	Original Transcription (Yonah Ndege)	Translation	
00:00:44.175	44.175	00:00:45.038	45.038	00:00:00.863	0.863	2018-07-26_Omaiyo_2_001	áíngà	háíngà	hainga	we
00:00:49.676	49.676	00:00:50.581	50.581	00:00:00.905	0.905	2018-07-26_Omaiyo_2_002	áíngà	háíngà	hainga	we
00:00:52.288	52.288	00:00:53.254	53.254	00:00:00.966	0.966	2018-07-26_Omaiyo_2_003	áíngà	háíngà	hainga	we
00:01:10.954	70.954	00:01:11.633	71.633	00:00:00.679	0.679	2018-07-26_Omaiyo_2_004	áíngà	háíngà	hainga	we
00:01:29.906	89.906	00:01:30.975	90.975	00:00:01.069	1.069	2018-07-26_Omaiyo_2_005	máíɲàgì	máìnàgì	mainyage	I
00:01:35.108	95.108	00:01:36.198	96.198	00:00:01.090	1.09	2018-07-26_Omaiyo_2_006	máíɲàgì	máìnàgì	mainyage	I
00:02:04.762	124.762	00:02:05.770	125.77	00:00:01.008	1.008	2018-07-26_Omaiyo_2_007	áúndà	háùndà	awunda	you
00:02:10.124	130.124	00:02:11.049	131.049	00:00:00.925	0.925	2018-07-26_Omaiyo_2_008	áúndà	háùndà	awunda	you
00:02:11.954	131.954	00:02:13.558	133.558	00:00:01.604	1.604	2018-07-26_Omaiyo_2_009	áúndà	háùndà	awunda	you
00:02:33.168	153.168	00:02:34.237	154.237	00:00:01.069	1.069	2018-07-26_Omaiyo_2_010	hóːndà	hǒntà	hong'uta	eye
00:02:36.416	156.416	00:02:37.403	157.403	00:00:00.987	0.987	2018-07-26_Omaiyo_2_011	hóːndà	hǒntà	hong'uta	eye
00:03:23.129	203.129	00:03:24.486	204.486	00:00:01.357	1.357	2018-07-26_Omaiyo_2_012	máíndà	mwáíndà	mwayda	name
00:03:30.300	210.3	00:03:31.308	211.308	00:00:01.008	1.008	2018-07-26_Omaiyo_2_013	máíndà	mwáíndà	mwayda	name
00:03:50.327	230.327	00:03:51.170	231.17	00:00:00.843	0.843	2018-07-26_Omaiyo_2_014	hóːndà	hǒntà	hong'uta	eyes
00:03:53.103	233.103	00:03:53.946	233.946	00:00:00.843	0.843	2018-07-26_Omaiyo_2_015	hóːndà	hǒntà	hong'uta	eyes
00:03:55.406	235.406	00:03:56.125	236.125	00:00:00.719	0.719	2018-07-26_Omaiyo_2_016	hóːndà	hǒntà	hong'uta	eyes
00:04:01.513	241.513	00:04:02.479	242.479	00:00:00.966	0.966	2018-07-26_Omaiyo_2_017	hóːndà	hǒntà	hong'uta	eyes
00:04:25.254	265.254	00:04:26.302	266.302	00:00:01.048	1.048	2018-07-26_Omaiyo_2_018	háúrâ	háúrà	hawora	die.IMP
