Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	REF-ID	Phonetic Transcription-cp	Original Transcription (Richard Griscom)-cp	Original Transcription (Yonah Ndege)-cp	Translation	
00:00:45.913	45.913	00:00:46.443	46.443	00:00:00.530	0.53	2018-07-26_Omaiyo_4_001	hɔ̀díjó	hòdíyó	horiyo	elephant (M/F/SG/PL)
00:00:47.430	47.43	00:00:48.270	48.27	00:00:00.840	0.84	2018-07-26_Omaiyo_4_002	hɔ̀díjó	hòdíyó	horiyo	elephant (M/F/SG/PL)
00:00:49.385	49.385	00:00:50.281	50.281	00:00:00.896	0.896	2018-07-26_Omaiyo_4_003	hɔ̀díjó	hòdíyó	horiyo	elephant (M/F/SG/PL)
00:01:41.221	101.221	00:01:42.208	102.208	00:00:00.987	0.987	2018-07-26_Omaiyo_4_004	hɔ̀díjó	hòdíyó	horiyo	elephant (M/F/SG/PL)
00:01:50.213	110.213	00:01:51.090	111.09	00:00:00.877	0.877	2018-07-26_Omaiyo_4_005	hɔ̀díjó	hòdíyó	horiyo	elephant (M/F/SG/PL)
00:01:52.881	112.881	00:01:53.648	113.648	00:00:00.767	0.767	2018-07-26_Omaiyo_4_006	hɔ̀díjó	hòdíyó	horiyo	elephant (M/F/SG/PL)
00:03:03.946	183.946	00:03:05.335	185.335	00:00:01.389	1.389	2018-07-26_Omaiyo_4_007	lùbàndá	lùbàndá	lubwanda	buffalo
00:03:07.894	187.894	00:03:09.283	189.283	00:00:01.389	1.389	2018-07-26_Omaiyo_4_008	lùbàndá	lùbàndá	lubwanda	buffalo
00:03:26.646	206.646	00:03:27.450	207.45	00:00:00.804	0.804	2018-07-26_Omaiyo_4_009	ǹgɪ̀dùrú	ǹgìdùrú	ngiduru	baboon
00:03:30.521	210.521	00:03:31.654	211.654	00:00:01.133	1.133	2018-07-26_Omaiyo_4_010	ǹgɪ̀dùrú	ǹgìdùrú	ngiduru	baboon
00:03:35.419	215.419	00:03:36.625	216.625	00:00:01.206	1.206	2018-07-26_Omaiyo_4_011	ǹgɪ̀dùrú	ǹgìdùrú	ngiduru	baboon
00:04:56.693	296.693	00:04:58.264	298.264	00:00:01.571	1.571	2018-07-26_Omaiyo_4_012	ŋgóíɲóʃà ǹgìrùrú	góíɲóʃà ǹgìyùrú	ngoynyasha ngiruru	"I see an elephant" (or possibly "baboon")
00:05:00.385	300.385	00:05:02.359	302.359	00:00:01.974	1.974	2018-07-26_Omaiyo_4_013	ŋgóíɲóʃà ǹgìrùrú	góíɲóʃà ǹgìyùrú	ngoynyasha ngiruru	"I see an elephant" (or possibly "baboon")
00:05:15.518	315.518	00:05:17.273	317.273	00:00:01.755	1.755	2018-07-26_Omaiyo_4_014	ŋgóíɲóʃà ǹgìrùrú	góíɲóʃà ǹgìyùrú	ngoynyasha ngiruru	"I see an elephant" (or possibly "baboon")
00:05:28.312	328.312	00:05:29.884	329.884	00:00:01.572	1.572	2018-07-26_Omaiyo_4_015	ŋgóíɲóʃà ǹgìrùrú	góíɲóʃà ǹgìyùrú	ngoynyasha ngiruru	"I see an elephant" (or possibly "baboon")
00:07:41.923	461.923	00:07:43.276	463.276	00:00:01.353	1.353	2018-07-26_Omaiyo_4_016	ǹgíríríjándà			response to request for "You see an elephant", unclear what it really means
00:07:44.920	464.92	00:07:46.200	466.2	00:00:01.280	1.28	2018-07-26_Omaiyo_4_017	ǹgíríríjándà			response to request for "You see an elephant", unclear what it really means
00:07:50.294	470.294	00:07:51.354	471.354	00:00:01.060	1.06	2018-07-26_Omaiyo_4_018	ǹgíríríjándà			response to request for "You see an elephant", unclear what it really means
00:07:52.068	472.068	00:07:52.906	472.906	00:00:00.838	0.838	2018-07-26_Omaiyo_4_019	ǹgíríríjándà			response to request for "You see an elephant", unclear what it really means
00:07:57.861	477.861	00:07:58.969	478.969	00:00:01.108	1.108	2018-07-26_Omaiyo_4_020	ǹgíríríjándà			response to request for "You see an elephant", unclear what it really means
00:08:19.569	499.569	00:08:20.497	500.497	00:00:00.928	0.928	2018-07-26_Omaiyo_4_021	ǹgíríríjándà			response to request for "You see an elephant", unclear what it really means
00:09:17.754	557.754	00:09:18.532	558.532	00:00:00.778	0.778	2018-07-26_Omaiyo_4_022	kùrúndá ŋ̀gírúrú	kìúndá ǹgìyúrú	ngiunda ngiruru	big elephant (possibly "big baboon")
00:09:27.541	567.541	00:09:29.008	569.008	00:00:01.467	1.467	2018-07-26_Omaiyo_4_023	kùrúndá ŋ̀gírúrú	kìúndá ǹgìyúrú	ngiunda ngiruru	big elephant (possibly "big baboon")
00:09:42.771	582.771	00:09:43.849	583.849	00:00:01.078	1.078	2018-07-26_Omaiyo_4_024	kùrúndá ŋ̀gírúrú	kìúndá ǹgìyúrú	ngiunda ngiruru	big elephant (possibly "big baboon")
00:09:49.356	589.356	00:09:51.302	591.302	00:00:01.946	1.946	2018-07-26_Omaiyo_4_025	kùrúndá ŋ̀gírúrú	kìúndá ǹgìyúrú	ngiunda ngiruru	big elephant (possibly "big baboon")
00:10:41.159	641.159	00:10:42.267	642.267	00:00:01.108	1.108	2018-07-26_Omaiyo_4_026	àjímò	àjímò	ayimo	"one elephant", or "one"
