English Translation,Reliability Rating,"Richard Griscom (2018, female speaker)","Yonah Ndege (2018, female speaker)","Richard Griscom (2018, male speakers)","Yonah Ndege (2018, male speakers)",Daudi Peterson (2018),Paulo Parana (2018),Alina (2018),Olewanga (2017),Daudi (2014),Dismas (2014),Bunga (2014),Sands (2014),Daudi (2012)
child,2,,,kàyándà,,engaiyanda,kayada,ngayanga,,,,,,
child,1,,,,,,,,,neng'oi,neng'oyi,neng'oi,"[nɛŋoi, nɛŋɲo]",
children,2,,,aitu,,aito (long o),aituo,ayto,,,,,,
children,1,,,,,,,,,,,,,onunihi
person,1,ǹgàjʃénì,ngasheni,,,,,,,,,,,
"person, who?",4,,,háŋákínè,,hang'akine,acktakine,hangakine,,"kai no, hang'akine","kaino, angakine","kaino, angakine","[ŋɡa.ino], [ˈɦaŋɡakiˈnɪ]",hangakine
people pl.,1,gàbúlútà,ngabuluta,,,,,,,,,,,
people pl.,1,,,,,keshinga,keficza,keeshinga or kuweshinja,,,,,,
drink,1,kàíngíɲì,ngaginyi,,,,,,,,,,,
drink,1,,,,,,,,,peeka,peika,,,
drink water or ingest food,1,,,,,markunyaga,makuroyacta,ngunyaga or maegunyaga,,,,,,
get up to sing s.,1,,,,,neten horaita (to sing),neten oroita,neteng hora ita,,,,,,
we are going to sing,1,,,,,handa (emp. on a),,haanda or handra,,,,,,
to sing,1,,,,,,,,,horokokinyenehanda,orkokinyienehanda,hologoginyenehanda,"[hoɾuɣʊɣiɲehe.aŋɡa, hoɾuɣɪɣiɲehe.anda, hoɾuɣɪɣiɲeha.anda, hoɾuɣʊɣiɲehe.anda]",
to sing,1,,,,,,,,,,,,,salaita
to sing,1,,,,,horaita,,hora ita,,,,,,
"be quiet/shut up, be quiet all",2,,,,,neng'aa,necya,nenga!,,,,,,neng’a
be quiet to one,1,,,,,,,,,,,,,sesa
look at the cattle,1,,,,,,,,,,,,,
you s. look at the giraffe,1,,,,,seesa sakeri,sakiri,,,,,,,
you pl. look at  the giraffes,1,,,,,sesa'e sakerie,,,,,,,,
celebratory name,1,,,,,"sende, ngakee",,,,,,,,
giraffe,4,sàgérí,sagere,,,seesa sakeri “you see the giraffe”,sakiri “you see the giraffe”,,sakeri,,,,,sakeri
buffalo,2,lùbàndá,lubwanda,,,ropanda,rompanda,ropanda,,,,,,
buffalo,1,,,,,,,,,,,,,iruri
buffalo,1,,,,,,,,matanguya,,,,,
buffalo pl.,1,,,,,ropandaye,,ropandaye,,,,,,
dead buffalo,2,,,,,lop,,,lopu,,,,,
rocks,1,qárébà,ngareba,,,,,,,,,,,ohomaa
rock s.&pl.,1,,,,,ngururumi,igurorom,ngururumi,,,,,,
